timestamp,open,high,low,close,volume
1739654820,97614,97622,97614,97622,0.00030668
1739654880,97630,97661,97630,97660,0.07570278
1739654940,97658,97658,97657,97657,0.003785
1739655000,97656,97656,97641,97641,0.02186248
1739655060,97632,97632,97630,97630,0.0205057
1739655120,97629,97629,97612,97619,0.0268775
1739655180,97619,97636,97619,97625,0.02551615
1739655240,97616,97620,97613,97620,0.0076618
1739655300,97614,97614,97596,97597,0.14216488
1739655360,97591,97599,97587,97597,0.01349209
1739655420,97602,97602,97587,97587,0.00291368
1739655480,97587,97597,97587,97587,0.23277056
1739655540,97587,97587,97587,97587,0.00101081
1739655600,97596,97612,97595,97612,0.00279358
1739655660,97620,97638,97620,97638,0.01898
1739655720,97636,97640,97635,97640,0.16510404
1739655780,97641,97663,97641,97660,0.0078029
1739655840,97659,97659,97650,97650,0.10254083
1739655900,97650,97669,97650,97669,0.00838057
1739655960,97669,97669,97622,97622,0.05971241
1739656020,97622,97658,97622,97658,0.00588988
1739656080,97669,97692,97669,97692,0.65621832
1739656140,97692,97692,97692,97692,0.42536557
1739656200,97692,97692,97691,97691,0.06198336
1739656260,97692,97701,97692,97701,0.03299404
1739656320,97701,97703,97691,97691,0.04338436
1739656380,97680,97704,97680,97704,0.00706832
1739656440,97704,97704,97682,97682,0.04606594
1739656500,97681,97681,97650,97650,0.02842747
1739656560,97650,97655,97650,97650,0.00694541
1739656620,97651,97651,97651,97651,0.00022529
1739656680,97656,97656,97656,97656,0.001
1739656740,97656,97684,97656,97684,0.09513268
1739656800,97684,97684,97684,97684,0.0
1739656860,97694,97704,97694,97704,0.00584173
1739656920,97704,97704,97703,97704,0.01270385
1739656980,97704,97704,97704,97704,0.00505
1739657040,97704,97704,97703,97704,0.02393378
1739657100,97703,97703,97703,97703,0.01234393
1739657160,97695,97704,97695,97704,0.26959414
1739657220,97704,97704,97704,97704,0.0934
1739657280,97704,97715,97704,97714,0.25391956
1739657340,97715,97715,97715,97715,0.27520501
1739657400,97715,97716,97715,97715,0.33241003
1739657460,97715,97715,97715,97715,0.00185
1739657520,97715,97727,97715,97727,0.53430445
1739657580,97738,97738,97738,97738,0.00204
1739657640,97738,97739,97737,97739,0.05914392
1739657700,97739,97739,97739,97739,0.02717998
1739657760,97738,97738,97688,97696,0.10411363
1739657820,97695,97709,97695,97709,0.00875707
1739657880,97707,97708,97702,97702,0.02627667
1739657940,97707,97709,97707,97709,0.01150867
1739658000,97709,97718,97709,97718,0.09150532
1739658060,97717,97717,97717,97717,0.00552274
1739658120,97717,97717,97717,97717,0.00097776
1739658180,97716,97716,97690,97690,0.04264971
1739658240,97689,97689,97689,97689,0.00204361
1739658300,97689,97689,97662,97665,0.09300701
1739658360,97662,97662,97661,97662,0.01713
1739658420,97661,97661,97632,97632,0.01555587
1739658480,97610,97610,97517,97517,8.45319055
1739658540,97517,97517,97483,97483,1.48955548
